APiCS Online -- Structure dataset (feature-value table): Tok Pisin
Lexifier: English | Region: Pacific
Source: https://apics-online.info/contributions/22
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Tok Pisin>  [source citation]
152 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [Own knowledge]
2. Order of possessor and possessum -- Possessum-possessor  [Mihalic 1971]
3. Order of adjective and noun -- Modifying adjective precedes noun  [Own knowledge]
3. Order of adjective and noun -- Modifying adjective follows noun  [Own knowledge]
4. Order of adposition and noun phrase -- Prepositions  [Own knowledge]
5. Order of demonstrative and noun -- Demonstrative word precedes noun  [Own knowledge]
5. Order of demonstrative and noun -- Demonstrative word follows noun  [Own knowledge]
6. Order of cardinal numeral and noun -- Numeral precedes noun  [Own knowledge]
7. Order of relative clause and noun -- Relative clause follows noun  [Own knowledge]
8. Order of degree word and adjective -- Degree word follows adjective  [Own knowledge]
9. Position of definite article in the noun phrase -- The language has no definite article  [Own knowledge]
10. Position of indefinite article in the noun phrase -- Indefinite article is preposed  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Adverb – verb – object  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase not initial  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [Own knowledge]
13. Gender distinctions in personal pronouns -- No gender distinctions  [Own knowledge]
14. Dual in independent personal pronouns -- Dual form in all three persons  [Own knowledge]
15. Inclusive/exclusive distinction in independent personal pronouns -- Inclusive and exclusive differentiated  [Own knowledge]
16. Person syncretism in independent personal pronouns -- No person syncretism  [Own knowledge]
17. Special dependent person forms for subject and object -- No dependent person forms  [Own knowledge]
18. Politeness distinctions in second-person pronouns -- No pronominal politeness distinction  [Own knowledge]
19. Interrogative pronouns -- Two compound expressions  [Own knowledge]
20. Pronoun conjunction -- Inclusory pronoun juxtaposed with subset NP  [Mihalic 1971]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [Mihalic 1971]
21. Indefinite pronouns -- Old generic-noun-based indefinites continuing somebody/something  [Own knowledge]
21. Indefinite pronouns -- Generic-noun-based indefinites  [Own knowledge]
22. Occurrence of nominal plural markers -- Variable plural marking of human or inanimate nouns  [Own knowledge]
23. Expression of nominal plural meaning -- Plural word preceding the noun  [Own knowledge]
24. The associative plural -- Associative plural marker identical to additive plural marker  [Own knowledge]
25. Nominal plural marker and third-person-plural pronoun -- Identity  [Own knowledge]
26. Functions of reduplication -- Only iconic functions  [Own knowledge]
27. Antidual of paired body-part terms -- No antidual  [Own knowledge]
28. Definite articles -- No definite article, but indefinite article  [Own knowledge]
29. Indefinite articles -- Indefinite article identical to numeral ‘one’  [Own knowledge]
30. Generic noun phrases in subject function -- Bare plural noun phrase in languages without definite article  [Own knowledge]
31. Co-occurrence of demonstrative and definite article -- No definite article exists  [Own knowledge]
32. Pronominal and adnominal demonstratives -- Same forms  [Own knowledge]
33. Distance contrasts in demonstratives -- No distance contrast  [Own knowledge]
34. Adnominal distributive numerals -- Distributivity marked by reduplication  [Verhaar 1995: 410]
35. Ordinal numerals -- All ordinal numerals are synchronically derived from cardinal numerals  [Own knowledge]
36. Sortal numeral classifiers -- The language has no numeral classifiers  [Own knowledge]
37. Marking of pronominal possessors -- Adpositional phrase following the possessum  [Own knowledge]
38. Marking of possessor noun phrases -- Adpositional or case marking of possessor  [Own knowledge]
39. Independent pronominal possessors -- Identical to dependent pronominal possessor  [Own knowledge]
40. Gender agreement of adnominal adjectives -- No adjective agrees with the noun  [nd]
41. Comparative adjective marking -- Adjective is not marked  [Own knowledge]
41. Comparative adjective marking -- Adjective is marked  [Own knowledge]
42. Comparative standard marking -- Secondary surpass marking  [nd]
42. Comparative standard marking -- Locational marking  [nd]
43. Position of tense, aspect, and mood markers in relation to the verb -- In a leftward position  [Dutton and Thomas 1985]
43. Position of tense, aspect, and mood markers in relation to the verb -- Immediately preceding the verb  [Dutton and Thomas 1985]
43. Position of tense, aspect, and mood markers in relation to the verb -- In a rightward position  [Dutton and Thomas 1985]
44. Internal order of tense, aspect, and mood markers -- The feature does not apply  [Own knowledge]
45. Tightness of the link between the past marker and the verb -- Particle, only grammatical markers can intervene  [Own knowledge]
46. Tightness of the link between the progressive marker and the verb -- Particle, open-class items may intervene  [Own knowledge]
47. Uses of the progressive marker -- Only progressive function  [Own knowledge]
48. Uses of the habitual marker -- Only habitual function  [Own knowledge]
49. Tense-aspect systems -- Mixed aspectual-temporal system  [Own knowledge]
50. Negation and tense, aspect, and mood marking -- Same TAM marking in negated clauses  [Own knowledge]
51. Present reference of stative verbs and past perfective reference of dynamic verbs -- Stative verbs with present reference and dynamic verbs with past perfective reference are marked differently  [Own knowledge]
52. Aspect markers and inchoative meaning -- No inchoative meaning with aspect markers  [Own knowledge]
53. Aspect change in verb chains -- Aspect change in verb chains is not possible  [Own knowledge]
54. Suppletion according to tense and aspect -- No suppletion according to tense or aspect  [Own knowledge]
55. Ability verb and epistemic possibility -- Ability verb cannot express epistemic possibility  [Own knowledge]
56. The prohibitive -- Normal imperative construction and normal negator  [Own knowledge]
56. The prohibitive -- Normal imperative construction and special negator  [Own knowledge]
57. Marking of patient noun phrases -- No marking of patient NPs  [Own knowledge]
58. Alignment of case marking of full noun phrases -- Neutral alignment  [Own knowledge]
59. Alignment of case marking of personal pronouns -- Neutral alignment  [Own knowledge]
60. Ditransitive constructions with ‘give’ -- Indirect-object construction  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – theme – recipient  [Own knowledge]
62. Expression of pronominal subjects -- Obligatory pronoun words  [Own knowledge]
63. Expletive subject in ‘seem’ constructions -- An expletive subject is not used  [Own knowledge]
64. Expletive subject of existential verb -- An expletive subject is used  [Own knowledge]
65. Raining constructions -- Rain falls  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Experiencer is subject  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [Own knowledge]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [Own knowledge]
69. Instrumental expressions -- Adposition  [Own knowledge]
70. Comitatives and instrumentals -- Overlap  [Own knowledge]
71. Noun phrase conjunction and comitative -- Overlap  [Own knowledge]
72. Nominal and verbal conjunction -- Identity, overtly expressed  [Own knowledge]
73. Predicative noun phrases -- No copula  [Own knowledge]
74. Predicative adjectives -- No copula  [Own knowledge]
75. Predicative locative phrases -- Invariant copula  [Own knowledge]
76. Predicative noun phrases and predicative locative phrases -- Differentiation  [Own knowledge]
77. Predicative possession -- Transitive  [Own knowledge]
78. Existential verb and transitive possession verb -- Identity  [Own knowledge]
79. Going to named places -- Serial verb plus preposition  [Own knowledge]
79. Going to named places -- Preposition  [Own knowledge]
80. Coming from named places -- Preposition  [Own knowledge]
81. Motion-to and motion-from -- Identity  [Own knowledge]
82. Transitive motion verbs: ‘push’ -- Serial verb construction plus preposition  [Own knowledge]
83. Transitive motion verbs: ‘pull’ -- Serial verb construction plus preposition  [Mihalic 1971]
83. Transitive motion verbs: ‘pull’ -- At-rest marking is used to express motion-from  [Mihalic 1971]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals exist  [Own knowledge]
85. ‘Take’ serial verb constructions -- No ‘take’ serials  [Own knowledge]
86. 'Give' serial verb constructions -- No ‘give’ serials exist  [Own knowledge]
87. Reflexive constructions -- Compound reflexive pronoun with emphasizer  [Own knowledge]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are identical  [Own knowledge]
89. Reciprocal constructions -- Reciprocal construction identical to reflexive  [Own knowledge]
90. Passive constructions -- Absence of passive construction  [Own knowledge]
91. Applicative constructions -- No applicative construction exists  [Own knowledge]
92. Subject relative clauses -- Relative particle and gap  [Own knowledge]
92. Subject relative clauses -- Zero and gap  [Own knowledge]
92. Subject relative clauses -- Zero and resumptive pronoun  [Own knowledge]
93. Object relative clauses -- Relative particle and gap  [Own knowledge]
93. Object relative clauses -- Zero and gap  [Own knowledge]
93. Object relative clauses -- Zero and resumptive pronoun  [Own knowledge]
94. Instrument relative clauses -- Zero and resumptive pronoun  [Own knowledge]
95. Complementizer with verbs of speaking -- No complementizer  [Own knowledge]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [Own knowledge]
96. Complementizer with verbs of knowing -- Complementizer identical to bare ‘say’  [Own knowledge]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [Own knowledge]
96. Complementizer with verbs of knowing -- No complementizer  [Own knowledge]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [Own knowledge]
98. Complements of 'think' and 'want' -- Only 'think' complement has a complementizer  [Own knowledge]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [Own knowledge]
100. Negative morpheme types -- Negative particle  [Own knowledge]
101. Position of standard negation -- Before the verb  [Own knowledge]
102. Negation and indefinite pronouns -- Co-occurrence with predicate negation  [Own knowledge]
103. Polar questions -- Final question particle  [Own knowledge]
103. Polar questions -- Only interrogative intonation  [Own knowledge]
104. Focusing of the noun phrase -- Fronting with particle after focus  [Own knowledge]
105. Verb doubling and focus -- No verb doubling  [Own knowledge]
106. Focus particle ‘also’ -- After the focused element  [Own knowledge]
107. Vocative markers -- No vocative marker  [Own knowledge]
108. Para-linguistic usages of clicks -- Clicks can express only affective meanings  [Own knowledge]
109. Pequenino -- A word derived from pequenino exists  [Own knowledge]
110. Savvy -- A savvy word exists  [Own knowledge]
111. 'Tears' -- Bimorphemic  [Own knowledge]
112. 'Hand' and 'arm' -- Identity  [Own knowledge]
113. 'Finger' and 'toe' -- Differentiation  [Own knowledge]
114. 'Body hair' and 'feather' -- Identity and differentiation  [Own knowledge]
115. 'Hear' and 'smell' -- Differentiation  [Own knowledge]
116. 'Green' and 'blue' -- Differentiation  [Own knowledge]
117. Female and male animals -- Postposed sex-denoting word  [Own knowledge]
118. Syllable onsets -- Onsets may be complex  [Own knowledge]
119. Syllable codas -- Only simple codas  [Own knowledge]
120. Tone -- No tone distinctions  [Own knowledge]
121. Vowel height distinctions -- Three vowel heights
122. Nasal vowels -- No nasal vowels exist
123. The schwa vowel -- [ə] does not exist
124. Labiodental fricatives -- Only [v] exists
125. Palato-alveolar sibilants -- Only [ʃ] exists
126. The voiced sibilant [z] -- [z] does not exist
127. Interdental fricatives -- Neither [θ] nor [ð] exists
128. The palatal nasal -- [ɲ] does not exist
129. Prenasalized consonants -- No prenasalized segments
130. The segment [h] -- [h] exists as a major allophone
