APiCS Online -- Structure dataset (feature-value table): Afrikaans
Lexifier: Dutch | Region: Southern Africa
Source: https://apics-online.info/contributions/29
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Afrikaans>  [source citation]
172 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [Own knowledge]
1. Order of subject, object, and verb -- Verb-subject-object (VSO)  [Own knowledge]
1. Order of subject, object, and verb -- Subject-object-verb (SOV)  [Own knowledge]
2. Order of possessor and possessum -- Possessor-possessum  [Own knowledge]
2. Order of possessor and possessum -- Possessum-possessor  [Own knowledge]
3. Order of adjective and noun -- Modifying adjective precedes noun  [Own knowledge]
4. Order of adposition and noun phrase -- Prepositions  [Own knowledge]
4. Order of adposition and noun phrase -- Postpositions  [Own knowledge]
4. Order of adposition and noun phrase -- Circumpositions  [Own knowledge]
5. Order of demonstrative and noun -- Demonstrative word precedes noun  [Own knowledge]
6. Order of cardinal numeral and noun -- Numeral precedes noun  [Own knowledge]
7. Order of relative clause and noun -- Relative clause follows noun  [Own knowledge]
8. Order of degree word and adjective -- Degree word precedes adjective  [Own knowledge]
8. Order of degree word and adjective -- Degree word follows adjective  [Own knowledge]
9. Position of definite article in the noun phrase -- Definite article is preposed  [Own knowledge]
10. Position of indefinite article in the noun phrase -- Indefinite article is preposed  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Adverb – object – verb  [Own knowledge, Molnárfi 1999]
11. Order of frequency adverb, verb, and object -- Object – adverb – verb  [Own knowledge, Molnárfi 1999]
11. Order of frequency adverb, verb, and object -- Verb – adverb – object  [Own knowledge, Molnárfi 1999]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [Own knowledge, Molnárfi 1999]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [Own knowledge]
13. Gender distinctions in personal pronouns -- In 3rd person singular only  [Own knowledge]
14. Dual in independent personal pronouns -- No special dual form  [Own knowledge]
15. Inclusive/exclusive distinction in independent personal pronouns -- No inclusive/exclusive distinction  [Own knowledge]
16. Person syncretism in independent personal pronouns -- No person syncretism  [Own knowledge]
17. Special dependent person forms for subject and object -- No dependent person forms  [Own knowledge]
18. Politeness distinctions in second-person pronouns -- Titles used as second person forms  [Own knowledge]
19. Interrogative pronouns -- All simple words  [Own knowledge]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [Own knowledge]
21. Indefinite pronouns -- Generic-noun-based indefinites  [Own knowledge]
21. Indefinite pronouns -- Special indefinites  [Own knowledge]
22. Occurrence of nominal plural markers -- Invariant plural marking  [Own knowledge]
23. Expression of nominal plural meaning -- Plural suffix  [Own knowledge]
24. The associative plural -- Special associative plural marker identical to 3rd plural pronoun  [Own knowledge]
