APiCS Online -- Structure dataset (feature-value table): Santome
Lexifier: Portuguese | Region: West Africa
Source: https://apics-online.info/contributions/35
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Santome>  [source citation]
152 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [Own data]
2. Order of possessor and possessum -- Possessum-possessor  [Alexandre et al. 2007: 46; Ferraz 1979: 69]
3. Order of adjective and noun -- Modifying adjective follows noun  [Ferraz 1979: 80-1; Alexandre and Hagemeijer 2004]
3. Order of adjective and noun -- Modifying adjective precedes noun  [Ferraz 1979: 80-1; Alexandre and Hagemeijer 2004]
4. Order of adposition and noun phrase -- Prepositions  [Hagemeijer 2007; Hagemeijer 2005]
5. Order of demonstrative and noun -- Demonstrative word follows noun  [Alexandre et al. 2007; Ferraz 1979: 81]
6. Order of cardinal numeral and noun -- Numeral follows noun  [Alexandre and Hagemeijer 2004: 87-8]
6. Order of cardinal numeral and noun -- Numeral precedes noun  [Alexandre and Hagemeijer 2004: 87-8]
7. Order of relative clause and noun -- Relative clause follows noun  [Alexandre and Hagemeijer 2004]
8. Order of degree word and adjective -- Degree word precedes adjective  [Own knowledge]
8. Order of degree word and adjective -- Degree word follows adjective  [Own knowledge]
9. Position of definite article in the noun phrase -- Definite article is preposed  [Alexandre et al. 2007]
10. Position of indefinite article in the noun phrase -- Indefinite article is preposed  [Alexandre et al. 2007]
11. Order of frequency adverb, verb, and object -- Adverb – verb – object  [Hagemeijer 2007: Ch. 3]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [Hagemeijer 2007: Ch. 3]
12. Position of interrogative phrases in content questions -- Interrogative phrase not initial  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [Own knowledge]
13. Gender distinctions in personal pronouns -- No gender distinctions  [Hagemeijer 2007: Ch. 2; Ferraz 1979: 62]
14. Dual in independent personal pronouns -- No special dual form  [Own knowledge]
15. Inclusive/exclusive distinction in independent personal pronouns -- No inclusive/exclusive distinction  [Own knowledge]
16. Person syncretism in independent personal pronouns -- No person syncretism  [Ferraz 1979; Hagemeijer 2007]
17. Special dependent person forms for subject and object -- Dependent subject and object forms  [Ferraz 1979: 61-8; Hagemeijer 2007: Ch. 2]
18. Politeness distinctions in second-person pronouns -- Titles used as second person forms  [Ferraz 1979: 115-6; Hagemeijer 2007: 15-7]
19. Interrogative pronouns -- Two compound expressions  [Own knowledge]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [Hagemeijer 2007: Ch. 2]
21. Indefinite pronouns -- Generic-noun-based indefinites  [Own knowledge]
22. Occurrence of nominal plural markers -- Variable plural marking of human or inanimate nouns  [Alexandre et al. 2007]
23. Expression of nominal plural meaning -- Plural word preceding the noun  [Alexandre et al. 2007]
24. The associative plural -- Associative plural marker identical to additive plural marker  [Own knowledge]
25. Nominal plural marker and third-person-plural pronoun -- Identity  [Ferraz 1979: 65-66]
26. Functions of reduplication -- Only iconic functions  [Ladhams et al. 2003]
27. Antidual of paired body-part terms -- No antidual  [Own knowledge]
28. Definite articles -- Definite article distinct from demonstratives  [Alexandre et al. 2007; Ferraz 1979: 73-4]
29. Indefinite articles -- Indefinite article identical to numeral ‘one’  [Alexandre et al. 2007]
30. Generic noun phrases in subject function -- Bare singular noun phrase in languages with definite article  [Alexandre et al. 2007]
31. Co-occurrence of demonstrative and definite article -- Co-occurrence  [Alexandre et al. 2007]
32. Pronominal and adnominal demonstratives -- Different forms  [Ferraz 1979: 74]
33. Distance contrasts in demonstratives -- Two-way contrast  [Ferraz 1979: 73-4]
34. Adnominal distributive numerals -- Distributivity marked by reduplication  [Ladhams et al. 2003: 170]
35. Ordinal numerals -- ‘First’, ‘second’, or more are suppletive, the others are synchronically derived from cardinal numerals  [Own knowledge]
36. Sortal numeral classifiers -- The language has no numeral classifiers  [Own knowledge]
37. Marking of pronominal possessors -- Adpositional phrase following the possessum  [Ferraz 1979: 69. 81]
38. Marking of possessor noun phrases -- Adpositional or case marking of possessor  [Ferraz 1979: 69]
38. Marking of possessor noun phrases -- No marking  [Ferraz 1979: 69]
39. Independent pronominal possessors -- Special preposition plus pronoun  [Ferraz 1979: 69]
40. Gender agreement of adnominal adjectives -- No adjective agrees with the noun  [Own knowledge]
41. Comparative adjective marking -- Adjective is not marked  [Hagemeijer 2000: 104-6]
41. Comparative adjective marking -- Adjective is marked  [Hagemeijer 2000: 104-6]
42. Comparative standard marking -- Secondary surpass marking  [Hagemeijer 2000: 104-6]
42. Comparative standard marking -- Particle marking  [Hagemeijer 2000: 104-6]
43. Position of tense, aspect, and mood markers in relation to the verb -- Immediately preceding the verb  [Ferraz 1979: 81-3; Hagemeijer 2007: Ch. 3]
43. Position of tense, aspect, and mood markers in relation to the verb -- In a leftward position  [Ferraz 1979: 81-3; Hagemeijer 2007: Ch. 3]
44. Internal order of tense, aspect, and mood markers -- Mood-Tense-Aspect  [Hagemeijer 2007: Ch. 3]
45. Tightness of the link between the past marker and the verb -- Particle, a few lexical items may intervene  [Hagemeijer 2007: Ch. 3]
46. Tightness of the link between the progressive marker and the verb -- Particle, nothing can intervene  [Hagemeijer 2007: Ch. 3]
47. Uses of the progressive marker -- Only progressive function  [Ferraz 1979: 82; Hagemeijer 2007: Ch. 3]
48. Uses of the habitual marker -- Habitual, current state, and future  [Hagemeijer 2007: Ch. 3; Ferraz 1979: 82]
49. Tense-aspect systems -- Mixed aspectual-temporal system  [Hagemeijer 2007: Ch. 3]
50. Negation and tense, aspect, and mood marking -- Same TAM marking in negated clauses  [Own knowledge]
51. Present reference of stative verbs and past perfective reference of dynamic verbs -- Stative verbs with present reference and dynamic verbs with past perfective reference are both unmarked  [Hagemeijer 2007: Ch. 3]
52. Aspect markers and inchoative meaning -- Inchoative expressed by progressive marker  [Own knowledge]
53. Aspect change in verb chains -- Aspect change in verb chains is possible  [Own knowledge]
54. Suppletion according to tense and aspect -- Strong suppletion according to tense only  [Own knowledge]
55. Ability verb and epistemic possibility -- Ability verb also expresses epistemic possibility  [Own knowledge]
56. The prohibitive -- Normal imperative construction and normal negator  [Own knowledge]
57. Marking of patient noun phrases -- No marking of patient NPs  [Own knowledge]
58. Alignment of case marking of full noun phrases -- Neutral alignment  [Own knowledge]
59. Alignment of case marking of personal pronouns -- Accusative alignment  [Own knowledge]
60. Ditransitive constructions with ‘give’ -- Double-object construction  [Hagemeijer 2007: 79-83]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [Hagemeijer 2007: 79-83]
62. Expression of pronominal subjects -- Obligatory pronoun words  [Hagemeijer 2007: 54-71]
63. Expletive subject in ‘seem’ constructions -- 'There is no 'seem' construction  [Hagemeijer 2007: 62-3]
64. Expletive subject of existential verb -- An expletive subject is used  [Hagemeijer 2007: 57-9]
65. Raining constructions -- It rains  [Hagemeijer 2007]
65. Raining constructions -- Rain rains  [Hagemeijer 2007]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [Own knowledge]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is non-verbal  [Own knowledge]
69. Instrumental expressions -- Adposition  [Hagemeijer 2000; Hagemeijer and Ogie 2011; Hagemeijer 2001]
69. Instrumental expressions -- Serial verb  [Hagemeijer 2000; Hagemeijer and Ogie 2011; Hagemeijer 2001]
70. Comitatives and instrumentals -- Identity  [Own knowledge]
71. Noun phrase conjunction and comitative -- Identity  [Hagemeijer 2005]
72. Nominal and verbal conjunction -- Differentiation  [Ferraz 1979: 79-80; Hagemeijer 2007: Ch. 2]
73. Predicative noun phrases -- Invariant copula  [Own knowledge]
74. Predicative adjectives -- Variable copula  [Own knowledge]
75. Predicative locative phrases -- Invariant copula  [Own knowledge]
76. Predicative noun phrases and predicative locative phrases -- Identity  [Own knowledge]
77. Predicative possession -- Transitive  [Ferraz 1979: 88]
77. Predicative possession -- Comitative  [Ferraz 1979: 88]
78. Existential verb and transitive possession verb -- Differentiation  [Own knowledge]
79. Going to named places -- No adpositional/case marking  [Hagemeijer 2005]
80. Coming from named places -- Serial verb  [Hagemeijer and Ogie 2011; Hagemeijer 2005]
81. Motion-to and motion-from -- Differentiation  [Hagemeijer and Ogie 2011; Hagemeijer 2005]
82. Transitive motion verbs: ‘push’ -- Serial verb construction  [Hagemeijer and Ogie 2011; Hagemeijer 2000; Hagemeijer 2001]
83. Transitive motion verbs: ‘pull’ -- At-rest marking is used to express motion-from  [Own knowledge]
83. Transitive motion verbs: ‘pull’ -- Serial verb construction  [Own knowledge]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals exist  [Hagemeijer 2000; Hagemeijer 2001]
85. ‘Take’ serial verb constructions -- Instrument of the second verb, with resumptive pronoun  [Alexandre et al. 2002; Hagemeijer 2000]
85. ‘Take’ serial verb constructions -- Instrument of the second verb, no resumptive pronoun  [Alexandre et al. 2002; Hagemeijer 2000]
85. ‘Take’ serial verb constructions -- Theme of the second verb, literal interpretation possible  [Alexandre et al. 2002; Hagemeijer 2000]
85. ‘Take’ serial verb constructions -- Theme of the second verb, literal interpretation impossible  [Alexandre et al. 2002; Hagemeijer 2000]
86. 'Give' serial verb constructions -- ‘Give’ in second position, recipient or beneficiary  [Hagemeijer 2000; Hagemeijer and Ogie 2011; Hagemeijer 2001]
87. Reflexive constructions -- Implicit expression  [Ferraz 1979: 74; Hagemeijer 2007: 40-3]
87. Reflexive constructions -- Reflexive pronoun with ‘body’ or body-part  [Ferraz 1979: 74; Hagemeijer 2007: 40-3]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are differentiated  [Hagemeijer 2007: 40-3. 220-7]
89. Reciprocal constructions -- Special reciprocal construction based on 'other'  [Own knowledge]
90. Passive constructions -- Absence of passive construction  [Own knowledge]
91. Applicative constructions -- No applicative construction exists  [Own knowledge]
92. Subject relative clauses -- Relative particle and gap  [Own knowledge]
93. Object relative clauses -- Relative particle and gap  [Own knowledge]
94. Instrument relative clauses -- Relative particle and resumptive pronoun  [Alexandre et al. 2002; Hagemeijer 2000; Hagemeijer 2001]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [Own knowledge]
95. Complementizer with verbs of speaking -- No complementizer  [Own knowledge]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [Own knowledge]
96. Complementizer with verbs of knowing -- No complementizer  [Own knowledge]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [Own knowledge]
97. ‘Want’ complement subjects -- The complement subject is expressed overtly  [Own knowledge]
98. Complements of 'think' and 'want' -- Different complementizer  [Hagemeijer 2007: 178]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [Own knowledge]
100. Negative morpheme types -- Bipartite negative marker  [Hagemeijer 2003; Hagemeijer 2007: Ch. 4]
101. Position of standard negation -- Bipartite, before verb and after object  [Hagemeijer 2003; Hagemeijer 2007: Ch. 4]
