APiCS Online -- Structure dataset (feature-value table): Zamboanga Chabacano
Lexifier: Spanish | Region: Southeast Asia
Source: https://apics-online.info/contributions/46
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Zamboanga Chabacano>  [source citation]
151 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-object-verb (SOV)  [Own knowledge, Aoto 2002: 85-87]
1. Order of subject, object, and verb -- Verb-subject-object (VSO)  [Own knowledge, Aoto 2002: 85-87]
1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [Own knowledge, Aoto 2002: 85-87]
2. Order of possessor and possessum -- Possessum-possessor  [Own knowledge, Forman 1972]
2. Order of possessor and possessum -- Possessor-possessum  [Own knowledge, Forman 1972]
3. Order of adjective and noun -- Modifying adjective follows noun  [Own knowledge, Lipski and Santoro 2007: 390-391]
3. Order of adjective and noun -- Modifying adjective precedes noun  [Own knowledge, Lipski and Santoro 2007: 390-391]
4. Order of adposition and noun phrase -- Prepositions  [Own knowledge]
5. Order of demonstrative and noun -- Demonstrative simultaneously before and after noun  [Own knowledge]
5. Order of demonstrative and noun -- Demonstrative word precedes noun  [Own knowledge]
6. Order of cardinal numeral and noun -- Numeral precedes noun  [Own knowledge]
7. Order of relative clause and noun -- Relative clause follows noun  [Own knowledge]
8. Order of degree word and adjective -- Degree word precedes adjective  [Own knowledge]
9. Position of definite article in the noun phrase -- Definite article is circumposed  [Own knowledge]
9. Position of definite article in the noun phrase -- Definite article is preposed  [Own knowledge]
10. Position of indefinite article in the noun phrase -- Indefinite article is preposed  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Adverb – verb – object  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Verb – adverb – object  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [Own knowledge]
13. Gender distinctions in personal pronouns -- No gender distinctions  [Own knowledge]
14. Dual in independent personal pronouns -- No special dual form  [Own knowledge]
15. Inclusive/exclusive distinction in independent personal pronouns -- Inclusive and exclusive differentiated  [Own knowledge]
16. Person syncretism in independent personal pronouns -- No person syncretism  [Own knowledge]
17. Special dependent person forms for subject and object -- Only dependent subject forms  [Own knowledge]
18. Politeness distinctions in second-person pronouns -- Multiple pronominal politeness distinction  [Own knowledge, Forman 1972: 107]
19. Interrogative pronouns -- One compound expression  [Own knowledge, Forman 1972: 109-110; Lipski and Santoro 2007: 394]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [Own knowledge]
21. Indefinite pronouns -- Existential construction  [Own knowledge]
22. Occurrence of nominal plural markers -- Variable plural marking of human or inanimate nouns  [Own knowledge, Forman 1972: 95-96. 111-113; Lipski and Santoro 2007: 389-390]
23. Expression of nominal plural meaning -- Plural reduplication  [Own knowledge]
23. Expression of nominal plural meaning -- Plural word preceding the noun  [Own knowledge]
24. The associative plural -- Other special associative plural marker  [Own knowledge]
25. Nominal plural marker and third-person-plural pronoun -- Differentiation  [Own knowledge]
