APiCS Online -- Structure dataset (feature-value table): Lingala
Lexifier: Bantu | Region: Central and East Africa
Source: https://apics-online.info/contributions/60
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Lingala>  [source citation]
151 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [Own knowledge, Meeuwis 1998: 39]
2. Order of possessor and possessum -- Possessum-possessor  [Own knowledge, Meeuwis 1998: 19]
3. Order of adjective and noun -- Modifying adjective follows noun  [Own knowledge, Meeuwis 1998: 15]
4. Order of adposition and noun phrase -- Prepositions  [Own knowledge, Meeuwis 1998: 15]
5. Order of demonstrative and noun -- Demonstrative word follows noun  [Own knowledge, Meeuwis 1998: 17]
5. Order of demonstrative and noun -- Demonstrative word precedes noun  [Own knowledge, Meeuwis 1998: 17]
6. Order of cardinal numeral and noun -- Numeral follows noun  [Own knowledge, Meeuwis 1998: 22]
7. Order of relative clause and noun -- Relative clause follows noun  [Own knowledge, Meeuwis 1998: 20]
8. Order of degree word and adjective -- Degree word follows adjective  [Own knowledge, Meeuwis 1998: 39]
8. Order of degree word and adjective -- Degree word precedes adjective  [Own knowledge, Meeuwis 1998: 39]
9. Position of definite article in the noun phrase -- The language has no definite article  [Own knowledge]
10. Position of indefinite article in the noun phrase -- The language has no indefinite article  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Verb – adverb – object  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase not initial  [Own knowledge]
13. Gender distinctions in personal pronouns -- In 3rd person singular and plural only  [Own knowledge, Meeuwis 1998: 16]
14. Dual in independent personal pronouns -- No special dual form  [Own knowledge]
15. Inclusive/exclusive distinction in independent personal pronouns -- No inclusive/exclusive distinction  [Own knowledge]
16. Person syncretism in independent personal pronouns -- No person syncretism  [Own knowledge]
17. Special dependent person forms for subject and object -- Only dependent subject forms  [Own knowledge, Meeuwis 1998: 25]
18. Politeness distinctions in second-person pronouns -- No pronominal politeness distinction  [Own knowledge]
19. Interrogative pronouns -- Two compound expressions  [Own knowledge]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [Own knowledge, Meeuwis 1998: 16]
20. Pronoun conjunction -- Inclusory pronoun plus marker plus subset NP  [Own knowledge, Meeuwis 1998: 16]
21. Indefinite pronouns -- Generic-noun-based indefinites  [Own knowledge]
22. Occurrence of nominal plural markers -- Invariant plural marking  [Own knowledge, Meeuwis 1998: 11]
23. Expression of nominal plural meaning -- Plural prefix  [Own knowledge, Meeuwis 1998: 11]
24. The associative plural -- Associative plural marker identical to additive plural marker  [Own knowledge, Meeuwis 1998: 11]
25. Nominal plural marker and third-person-plural pronoun -- No nominal plural word  [Own knowledge, Meeuwis 1998: 11]
26. Functions of reduplication -- Only iconic functions  [Own knowledge]
27. Antidual of paired body-part terms -- No antidual  [Own knowledge]
28. Definite articles -- Neither definite nor indefinite article  [Own knowledge]
