APiCS Online -- Structure dataset (feature-value table): Kinubi
Lexifier: Arabic | Region: Central and East Africa
Source: https://apics-online.info/contributions/63
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Kinubi>  [source citation]
147 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [Luffin 2005: 359; Wellens 2005: 247]
2. Order of possessor and possessum -- Possessum-possessor  [Luffin 2005: 336]
3. Order of adjective and noun -- Modifying adjective follows noun  [Luffin 2005: 329]
4. Order of adposition and noun phrase -- Prepositions  [Luffin 2005: 350]
5. Order of demonstrative and noun -- Demonstrative word follows noun  [Luffin 2005: 329]
6. Order of cardinal numeral and noun -- Numeral follows noun  [Luffin 2005: 329]
7. Order of relative clause and noun -- Relative clause follows noun  [Luffin 2005: 366]
8. Order of degree word and adjective -- Degree word follows adjective  [Luffin 2005: 202]
9. Position of definite article in the noun phrase -- Definite article is postposed  [Heine 1982: 31]
10. Position of indefinite article in the noun phrase -- Indefinite article is postposed  [Luffin 2005: 330]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [Wellens 2005: 225]
11. Order of frequency adverb, verb, and object -- Adverb – verb – object  [Wellens 2005: 225]
12. Position of interrogative phrases in content questions -- Interrogative phrase not initial  [Luffin 2005: 379]
13. Gender distinctions in personal pronouns -- No gender distinctions  [Luffin 2005: 128]
14. Dual in independent personal pronouns -- No special dual form  [Luffin 2005: 171]
15. Inclusive/exclusive distinction in independent personal pronouns -- No inclusive/exclusive distinction  [Luffin 2005: 171]
16. Person syncretism in independent personal pronouns -- No person syncretism  [Luffin 2005: 171]
17. Special dependent person forms for subject and object -- No dependent person forms  [Luffin 2005: 171-2]
18. Politeness distinctions in second-person pronouns -- No pronominal politeness distinction  [Luffin 2005: 171]
19. Interrogative pronouns -- All simple words  [Luffin 2005: 379]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [Luffin 2005: 244]
21. Indefinite pronouns -- Generic-noun-based indefinites  [Luffin 2005: 194]
22. Occurrence of nominal plural markers -- Variable plural marking of human or inanimate nouns  [Luffin 2005: 134]
23. Expression of nominal plural meaning -- Plural word preceding the noun  [Luffin 2005: 134]
23. Expression of nominal plural meaning -- Plural reduplication  [Luffin 2005: 134]
23. Expression of nominal plural meaning -- Plural tone or stress change  [Luffin 2005: 134]
23. Expression of nominal plural meaning -- Plural stem change  [Luffin 2005: 134]
23. Expression of nominal plural meaning -- Plural suffix  [Luffin 2005: 134]
23. Expression of nominal plural meaning -- Plural word following the noun  [Luffin 2005: 134]
24. The associative plural -- No associative plural marker  [Luffin 2005: 134]
25. Nominal plural marker and third-person-plural pronoun -- Differentiation  [Luffin 2005: 149]
26. Functions of reduplication -- Only iconic functions  [Luffin 2005: 326]
27. Antidual of paired body-part terms -- No antidual  [Personal data]
28. Definite articles -- Definite article identical to a demonstrative  [Luffin 2005: 333]
29. Indefinite articles -- Indefinite article identical to numeral ‘one’  [Luffin 2005: 330]
30. Generic noun phrases in subject function -- Bare singular noun phrase in languages with definite article  [Personal data]
31. Co-occurrence of demonstrative and definite article -- Demonstrative identical to definite article  [Luffin 2005: 186]
32. Pronominal and adnominal demonstratives -- Same forms  [Wellens 2005: 95]
33. Distance contrasts in demonstratives -- Two-way contrast  [Luffin 2005: 185]
34. Adnominal distributive numerals -- No special adjacent distributive numerals  [Personal data]
35. Ordinal numerals -- All ordinal numerals are synchronically derived from cardinal numerals, but ‘first’ may also be suppletive  [Luffin 2005: 167]
36. Sortal numeral classifiers -- The language has no numeral classifiers  [Personal data]
37. Marking of pronominal possessors -- Suffix  [Luffin 2005: 334]
37. Marking of pronominal possessors -- Adpositional phrase following the possessum  [Luffin 2005: 334]
38. Marking of possessor noun phrases -- No marking  [Luffin 2005: 335, 336]
38. Marking of possessor noun phrases -- Adpositional or case marking of possessor  [Luffin 2005: 335, 336]
39. Independent pronominal possessors -- Identical to dependent pronominal possessor  [Personal data]
40. Gender agreement of adnominal adjectives -- No adjective agrees with the noun  [Luffin 2005: 128]
41. Comparative adjective marking -- Adjective is marked  [Luffin 2005: 384]
41. Comparative adjective marking -- Adjective is not marked  [Luffin 2005: 384]
42. Comparative standard marking -- Locational marking  [Luffin 2005: 384]
42. Comparative standard marking -- Secondary surpass marking  [Luffin 2005: 384]
43. Position of tense, aspect, and mood markers in relation to the verb -- Immediately preceding the verb  [Luffin 2005: 278]
44. Internal order of tense, aspect, and mood markers -- Tense-Aspect-Mood  [Luffin 2005: 294]
45. Tightness of the link between the past marker and the verb -- Particle, only grammatical markers can intervene  [Luffin 2005: 282]
46. Tightness of the link between the progressive marker and the verb -- Particle, nothing can intervene  [Luffin 2005: 284]
47. Uses of the progressive marker -- Progressive, habitual, current state, and future  [Luffin 2005]
48. Uses of the habitual marker -- Habitual, progressive, current state, and future  [Luffin 2005: 286]
49. Tense-aspect systems -- Mixed aspectual-temporal system  [Luffin 2005: 294]
50. Negation and tense, aspect, and mood marking -- Same TAM marking in negated clauses  [Personal data]
51. Present reference of stative verbs and past perfective reference of dynamic verbs -- Stative verbs with present reference and dynamic verbs with past perfective reference are both unmarked  [Luffin 2005: 281]
52. Aspect markers and inchoative meaning -- Inchoative expressed by progressive marker  [Luffin 2005: 297]
54. Suppletion according to tense and aspect -- Weak suppletion according to tense only  [Luffin 2005: 309]
55. Ability verb and epistemic possibility -- Ability verb cannot express epistemic possibility  [Personal data]
56. The prohibitive -- Special imperative construction and normal negator  [Personal data]
57. Marking of patient noun phrases -- No marking of patient NPs  [Personal data]
58. Alignment of case marking of full noun phrases -- Neutral alignment  [Personal data]
59. Alignment of case marking of personal pronouns -- Neutral alignment  [Personal data]
60. Ditransitive constructions with ‘give’ -- Indirect-object construction  [Personal data]
60. Ditransitive constructions with ‘give’ -- Double-object construction  [Personal data]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [Personal data]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – theme – recipient  [Personal data]
62. Expression of pronominal subjects -- Obligatory pronoun words  [Luffin 2005: 351]
63. Expletive subject in ‘seem’ constructions -- An expletive subject is not used  [Personal data]
64. Expletive subject of existential verb -- An expletive subject is not used  [Luffin 2005: 313]
65. Raining constructions -- Rain falls  [Heine 1982: 79]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Personal data]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [Personal data]
69. Instrumental expressions -- Adposition  [Personal data]
70. Comitatives and instrumentals -- Identity  [Luffin 2005: 229]
71. Noun phrase conjunction and comitative -- Overlap  [Luffin 2005: 244]
72. Nominal and verbal conjunction -- Overlap  [Luffin 2005: 391]
73. Predicative noun phrases -- Variable copula  [Luffin 2005: 353]
74. Predicative adjectives -- Variable copula  [Luffin 2005: 352]
75. Predicative locative phrases -- Variable copula  [Luffin 2005: 351.353]
