APiCS Online -- Structure dataset (feature-value table): Sri Lankan Malay
Lexifier: Malay | Region: South Asia
Source: https://apics-online.info/contributions/66
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Sri Lankan Malay>  [source citation]
139 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-object-verb (SOV)  [Own knowledge]
1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [Own knowledge]
2. Order of possessor and possessum -- Possessor-possessum  [Own knowledge]
3. Order of adjective and noun -- Modifying adjective precedes noun  [Own knowledge]
4. Order of adposition and noun phrase -- Postpositions  [Own knowledge]
5. Order of demonstrative and noun -- Demonstrative word precedes noun  [Own knowledge]
6. Order of cardinal numeral and noun -- Numeral follows noun  [Own knowledge]
6. Order of cardinal numeral and noun -- Numeral precedes noun  [Own knowledge]
7. Order of relative clause and noun -- Relative clause precedes noun  [Own knowledge]
8. Order of degree word and adjective -- Degree word precedes adjective  [M.T.M. Rihan, p.c.]
9. Position of definite article in the noun phrase -- The language has no definite article  [Own knowledge]
10. Position of indefinite article in the noun phrase -- Indefinite article is postposed  [Own knowledge]
10. Position of indefinite article in the noun phrase -- Indefinite article is preposed  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Object – adverb – verb  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Adverb – object – verb  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase not initial  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [Own knowledge]
13. Gender distinctions in personal pronouns -- No gender distinctions  [Own knowledge]
14. Dual in independent personal pronouns -- No special dual form  [Own knowledge]
