APiCS Online -- Structure dataset (feature-value table): Michif
Lexifier: Other | Region: North America
Source: https://apics-online.info/contributions/75
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Michif>  [source citation]
175 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Verb-subject-object (VSO)  [Own knowledge]
1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [Own knowledge]
1. Order of subject, object, and verb -- Subject-object-verb (SOV)  [Own knowledge]
1. Order of subject, object, and verb -- Object-subject-verb (OSV)  [Own knowledge]
1. Order of subject, object, and verb -- Object-verb-subject (OVS)  [Own knowledge]
1. Order of subject, object, and verb -- Verb-object-subject (VOS)  [Own knowledge]
2. Order of possessor and possessum -- Possessor-possessum  [Own knowledge]
3. Order of adjective and noun -- Modifying adjective follows noun  [Own knowledge]
3. Order of adjective and noun -- Modifying adjective precedes noun  [Own knowledge]
4. Order of adposition and noun phrase -- Circumpositions  [Bakker 1997: 110]
4. Order of adposition and noun phrase -- Prepositions  [Bakker 1997: 110]
4. Order of adposition and noun phrase -- Postpositions  [Bakker 1997: 110]
5. Order of demonstrative and noun -- Demonstrative word follows noun  [Bakker 1997: 108-109]
5. Order of demonstrative and noun -- Demonstrative word precedes noun  [Bakker 1997: 108-109]
6. Order of cardinal numeral and noun -- Numeral precedes noun  [Own knowledge]
7. Order of relative clause and noun -- Relative clause precedes noun  [Own knowledge]
7. Order of relative clause and noun -- Relative clause follows noun  [Own knowledge]
7. Order of relative clause and noun -- Adjoined relative clause  [Own knowledge]
8. Order of degree word and adjective -- Degree word precedes adjective  [Own knowledge]
8. Order of degree word and adjective -- Degree word follows adjective  [Own knowledge]
9. Position of definite article in the noun phrase -- Definite article is preposed  [Bakker 1997: 103-104; Bakker 1997: 224-227]
10. Position of indefinite article in the noun phrase -- Indefinite article is preposed  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Verb – adverb – object  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Adverb – verb – object  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Adverb – object – verb  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Object – adverb – verb  [Own knowledge]
11. Order of frequency adverb, verb, and object -- Object – verb – adverb  [Own knowledge]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [Own knowledge]
13. Gender distinctions in personal pronouns -- In 3rd person singular and plural only  [Own knowledge]
14. Dual in independent personal pronouns -- No special dual form  [Own knowledge]
15. Inclusive/exclusive distinction in independent personal pronouns -- Inclusive and exclusive differentiated  [Own knowledge]
16. Person syncretism in independent personal pronouns -- No person syncretism  [Own knowledge]
17. Special dependent person forms for subject and object -- Dependent subject and object forms  [Own knowledge]
18. Politeness distinctions in second-person pronouns -- No pronominal politeness distinction  [Own knowledge]
19. Interrogative pronouns -- All simple words  [Bakker 1997: 92]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [Own knowledge]
21. Indefinite pronouns -- Special indefinites  [Own knowledge]
21. Indefinite pronouns -- Interrogative-based indefinites  [Own knowledge]
22. Occurrence of nominal plural markers -- Invariant plural marking  [Own knowledge]
23. Expression of nominal plural meaning -- Plural word preceding the noun  [Own knowledge]
