ID,Version,Language_ID,Parameter_ID,Code_ID
0,1.0,2,1,1-C
1,1.0,3,1,1-C
2,1.0,59,1,1-B
3,1.0,30,2,2-A
4,1.0,43,2,2-C
5,1.0,8,3,3-C
6,1.0,13,3,3-B
7,1.0,22,3,3-B
8,1.0,26,3,3-B
9,1.0,28,3,3-D
10,1.0,39,3,3-D
11,1.0,41,3,3-A
12,1.0,29,4,4-A
13,1.0,49,4,4-C
14,1.0,13,6,6-B
15,1.0,39,7,7-D
16,1.0,2,8,8-C
17,1.0,21,8,8-B
18,1.0,29,8,8-C
19,1.0,39,8,8-D
20,1.0,2,9,9-A
21,1.0,29,9,9-C
22,1.0,36,9,9-A
23,1.0,53,9,9-B
24,1.0,28,10,10-B
25,1.0,29,10,10-A
26,1.0,30,10,10-A
27,1.0,38,10,10-D
28,1.0,43,10,10-B
29,1.0,39,11,11-D
30,1.0,45,11,11-B
31,1.0,49,11,11-D
32,1.0,50,11,11-A
33,1.0,59,11,11-C
34,1.0,8,13,13-A
35,1.0,28,13,13-A
36,1.0,30,13,13-A
37,1.0,29,14,14-C
38,1.0,45,14,14-B
39,1.0,53,14,14-D
40,1.0,59,14,14-C
41,1.0,36,15,15-A
42,1.0,41,15,15-C
43,1.0,21,16,16-A
44,1.0,29,16,16-C
45,1.0,44,16,16-D
46,1.0,49,16,16-B
47,1.0,29,17,17-B
48,1.0,33,17,17-D
49,1.0,28,19,19-B
50,1.0,36,20,20-D
51,1.0,40,20,20-D
52,1.0,44,20,20-NA
53,1.0,61,20,20-B
54,1.0,40,21,21-B
55,1.0,29,22,22-A
56,1.0,45,22,22-C
57,1.0,28,24,24-B
58,1.0,30,24,24-D
59,1.0,36,24,24-A
60,1.0,32,25,25-A
61,1.0,33,25,25-A
62,1.0,36,25,25-A
63,1.0,32,26,26-A
64,1.0,33,26,26-A
65,1.0,32,27,27-A
66,1.0,33,27,27-A
67,1.0,36,27,27-D
68,1.0,27,28,28-C
69,1.0,32,28,28-B
70,1.0,45,28,28-B
71,1.0,50,28,28-C
72,1.0,2,29,29-C
73,1.0,53,29,29-C
74,1.0,36,30,30-D
75,1.0,38,30,30-D
76,1.0,40,30,30-D
77,1.0,45,30,30-C
78,1.0,29,31,31-B
79,1.0,36,31,31-D
80,1.0,40,31,31-D
81,1.0,45,31,31-C
82,1.0,29,32,32-B
83,1.0,36,34,34-D
84,1.0,39,34,34-C
85,1.0,45,34,34-B
86,1.0,2,35,35-A
87,1.0,59,35,35-C
88,1.0,45,37,37-C
89,1.0,29,38,38-B
90,1.0,43,38,38-D
91,1.0,45,38,38-B
92,1.0,59,38,38-B
93,1.0,22,40,40-B
94,1.0,37,41,41-D
95,1.0,39,41,41-D
96,1.0,22,42,42-C
97,1.0,53,42,42-C
98,1.0,2,43,43-C
99,1.0,48,43,43-B
100,1.0,2,44,44-B
101,1.0,49,44,44-C
102,1.0,59,44,44-B
103,1.0,27,45,45-B
104,1.0,32,45,45-B
105,1.0,42,45,45-C
106,1.0,50,45,45-A
107,1.0,27,46,46-A
108,1.0,29,46,46-C
109,1.0,36,46,46-D
110,1.0,42,46,46-B
111,1.0,44,46,46-D
112,1.0,45,46,46-B
113,1.0,49,46,46-A
114,1.0,36,47,47-D
115,1.0,42,47,47-D
116,1.0,44,47,47-D
117,1.0,22,48,48-C
118,1.0,27,48,48-C
119,1.0,42,48,48-NA
120,1.0,46,48,48-C
121,1.0,53,48,48-C
122,1.0,59,48,48-C
123,1.0,27,49,49-C
124,1.0,28,49,49-C
125,1.0,39,49,49-D
126,1.0,40,49,49-D
127,1.0,42,49,49-NA
128,1.0,44,49,49-D
129,1.0,59,49,49-C
